Unnamed: 0,student_id,student serial,course_id,Course Name,course_name
5184,854,23027,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5185,854,23027,1,DATA SECURITY,DATA SECURITY
5186,854,23027,21,Cyber Security,Cyber Security
5187,854,23027,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
5188,855,15369,1,DATA SECURITY,DATA SECURITY
5189,855,15369,14,Web Engineering,Web Engineering
5190,855,15369,19,Introduction to Big Data Management,Introduction to Big Data Management
5191,855,15369,22,Multimedia&Virtual Reality Systems,Multimedia&Virtual Reality Systems
5192,855,15369,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5196,373,26058,19,Introduction to Big Data Management,Introduction to Big Data Management
5197,373,26058,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
5198,373,26058,15,Introduction to Data Mining,Introduction to Data Mining
5199,856,31493,0,Computing Algorithms,Computing Algorithms
5200,856,31493,14,Web Engineering,Web Engineering
5201,856,31493,19,Introduction to Big Data Management,Introduction to Big Data Management
5202,856,31493,21,Cyber Security,Cyber Security
5203,856,31493,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5204,856,31493,15,Introduction to Data Mining,Introduction to Data Mining
5205,857,30282,1,DATA SECURITY,DATA SECURITY
5206,857,30282,22,Multimedia&Virtual Reality Systems,Multimedia&Virtual Reality Systems
5207,857,30282,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
5208,857,30282,12,Mobile Applications,Mobile Applications
5209,857,30282,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5210,857,30282,15,Introduction to Data Mining,Introduction to Data Mining
5211,858,19318,7,INTELLIGENT ROBOTICS,INTELLIGENT ROBOTICS
5212,858,19318,14,Web Engineering,Web Engineering
5213,858,19318,19,Introduction to Big Data Management,Introduction to Big Data Management
5214,858,19318,1,DATA SECURITY,DATA SECURITY
5215,858,19318,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5216,858,19318,15,Introduction to Data Mining,Introduction to Data Mining
5217,859,15333,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5218,859,15333,1,DATA SECURITY,DATA SECURITY
5219,859,15333,14,Web Engineering,Web Engineering
5220,859,15333,19,Introduction to Big Data Management,Introduction to Big Data Management
5221,859,15333,12,Mobile Applications,Mobile Applications
5222,859,15333,15,Introduction to Data Mining,Introduction to Data Mining
5223,860,30148,1,DATA SECURITY,DATA SECURITY
5224,860,30148,12,Mobile Applications,Mobile Applications
5225,860,30148,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5226,860,30148,21,Cyber Security,Cyber Security
5227,860,30148,19,Introduction to Big Data Management,Introduction to Big Data Management
5228,860,30148,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
